object obsid mode pc1 pc1_err pc2 pc2_err hue hue_err hardness hardness_err
4U_1728_34 92023-03-49-00 event 90.2722115052 28.8366430818 0.0562603912401 0.00616049071343 169.880817474 7.35738455272 1.31038 0.0025
4U_1728_34 92023-03-87-10 event 0.0595081120733 0.0192080611914 13.2798881023 2.39461496855 352.947108586 5.86656781982 1.03265 0.00252
aquila_X1 20092-01-04-00 event 0.0813782005807 0.02104946228 2.20394291421 0.649705330613 336.477555804 8.8694278102 0.55873 0.001
aquila_X1 20098-03-02-00 event 0.136711768028 0.0241420400389 3.51907767301 0.894941295739 345.352144059 7.70975091436 0.56849 0.00075
aquila_X1 20098-03-05-00 event 0.12426160206 0.0213372615736 2.53113827011 0.668132539968 340.562672201 8.25909747797 0.56907 0.00072
aquila_X1 20098-03-11-00 event 15.4641565326 5.32737131491 0.451228363126 0.120723363059 135.256882397 28.6919201798 1.37855 0.01534
aquila_X1 30073-01-01-00 event 0.24522330623 0.0427994730662 3.30048700446 0.872762014785 349.254272377 8.96747118529 0.58188 0.00052
aquila_X1 30073-03-01-00 event 0.284170431924 0.0708281171059 3.97756058173 1.35451859203 353.121914406 11.5903150697 0.56863 0.00071
aquila_X1 30188-03-04-00 event 0.320250863023 0.10713795738 1.12349188677 0.352513985347 333.908563943 14.9004405696 0.57073 0.00146
aquila_X1 30188-03-13-00 event 0.332811887209 0.115836189339 2.29815150276 0.678664078961 346.879653222 13.3532049851 0.56755 0.00105
aquila_X1 40033-10-01-00 event 33.1949352504 7.87878888157 0.295925239729 0.0266203450037 147.097041612 6.53700435906 1.33831 0.00493
aquila_X1 40033-10-01-01 event 22.530337349 4.40909966248 0.292906049591 0.0238026943157 150.238295534 7.42985635526 1.33209 0.00344
aquila_X1 40033-10-01-02 event 19.5438218393 3.54839865927 0.438581589551 0.027599289968 136.327885741 5.67916373248 1.35816 0.003
aquila_X1 40033-10-02-00 event 16.4590105314 1.96000438571 0.437954854456 0.0222332538566 136.567638292 5.18843722947 1.35067 0.00286
aquila_X1 40033-10-02-01 event 12.1085648151 1.96396709791 0.548655514095 0.0366303613747 124.089391077 9.51480241295 1.35414 0.00431
aquila_X1 40033-10-02-02 event 12.5321821295 2.96475151864 0.568717925646 0.0717850973165 122.512063101 16.8505456436 1.36005 0.00837
aquila_X1 40033-10-02-03 event 8.52395620237 1.07436683616 0.695008207097 0.0533731567854 101.097659247 16.3754810969 1.36159 0.00519
aquila_X1 40033-10-02-04 event 8.46765746878 1.10184316428 0.759727485816 0.0620278792838 95.6167690156 16.8757012675 1.38288 0.00534
aquila_X1 40033-10-02-05 event 17.057384532 3.50873206502 0.457463699188 0.039567659684 134.645921862 8.59158152006 1.3493 0.00532
aquila_X1 40033-10-02-06 event 14.5119328315 2.71828555895 0.597541937039 0.0511181864543 121.720734607 10.3148968151 1.34548 0.00647
aquila_X1 40033-10-02-07 event 10.7475675454 2.17582294387 0.604267737976 0.0543523827302 116.699269597 15.3920681801 1.36456 0.00727
aquila_X1 40033-10-03-00 event 19.7453723406 3.75590467468 0.391880749487 0.0298502883789 140.674931689 6.95299663632 1.34603 0.00466
aquila_X1 40047-01-01-00 gx1 30.6822142776 8.13439226932 0.134035213936 0.0110207170192 167.482445864 9.20216366434 1.26924 0.00291
aquila_X1 40047-02-01-00 event 0.215878814907 0.0298516776756 3.09126924703 0.705513727661 347.248443284 7.58104741668 0.57024 0.0005
aquila_X1 40047-02-03-00 event 0.266127519329 0.0535256275556 1.25553297594 0.335840402582 334.767798414 11.4309312571 0.57144 0.00062
aquila_X1 40047-02-04-00 event 0.161585434563 0.0291267076465 2.09248643845 0.607915271669 339.650355005 9.88249978138 0.60111 0.00058
aquila_X1 40047-03-09-00 event 12.3101570369 3.8200096219 0.719292841207 0.22382713357 110.306148972 37.2030857262 1.30767 0.01898
aquila_X1 40048-01-01-00 gx1 23.2860229041 3.77207866167 0.36049724804 0.0233020505931 142.985794242 5.40700026039 1.36017 0.00384
aquila_X1 40048-01-01-01 gx1 15.8722937599 3.95363531643 0.451810695277 0.0489425447125 135.19273387 11.3763722739 1.35358 0.00589
aquila_X1 40048-01-04-00 gx1 9.6543162638 1.06325291675 0.687735872067 0.0462295270439 106.280430985 12.0748738032 1.34251 0.00461
aquila_X1 40048-01-04-01 gx1 5.15354399514 1.438776072 0.631506009752 0.184663455735 66.6671709882 104.214848749 1.39828 0.02042
aquila_X1 40048-01-05-00 gx1 4.57344870687 0.77034740253 0.914576591526 0.143152807037 45.9752457389 31.6963224942 1.3816 0.01167
aquila_X1 40048-01-05-01 gx1 7.75655061307 2.59714829357 0.808073682919 0.187976520516 88.1054015428 48.6637369695 1.36242 0.01261
aquila_X1 40048-01-05-02 gx1 8.03581974766 2.01701975699 0.807461630243 0.108738750324 89.9585979071 32.6346543901 1.36351 0.01031
aquila_X1 40048-01-06-00 gx1 14.8512027331 1.89492914305 0.551362996311 0.0282506973928 125.696438116 5.97588509182 1.36833 0.00344
aquila_X1 40048-01-07-00 gx1 27.0674553535 3.74607323337 0.299085406167 0.0149643681691 148.106514115 4.16067969617 1.34053 0.00312
aquila_X1 40048-01-08-00 gx1 25.1257788809 2.95083000922 0.292593710717 0.0132090556945 149.344318469 3.91377378447 1.34178 0.00257
aquila_X1 40048-01-09-00 gx1 24.3897279794 4.66572041237 0.223413195933 0.0163275730198 157.794502825 7.22618263143 1.33746 0.00331
aquila_X1 40049-01-01-01 gx1 5.38663696209 1.30559492777 0.697783785044 0.115732880902 67.1925857468 66.126792228 1.42448 0.0153
aquila_X1 40049-01-01-02 gx1 8.31963609677 1.62358862529 0.769729041623 0.0678634915988 94.105079849 23.5470596172 1.35535 0.00821
aquila_X1 40049-01-02-01 gx1 22.8331812367 5.5353529789 0.24683693526 0.0182824326487 155.59653985 8.37919130158 1.32243 0.00382
aquila_X1 40049-01-02-02 gx1 54.9685819663 14.5956980501 0.146336633908 0.0118155272641 159.366569662 6.34691371375 1.29853 0.00346
aquila_X1 40432-01-01-00 gx1 26.7090756076 6.31714223832 0.343611581192 0.0314865678442 143.892392991 7.1629489096 1.34825 0.00602
aquila_X1 40432-01-01-01 gx1 22.8415555298 6.92906630316 0.415000221618 0.0549364750387 138.151497275 10.8314054483 1.36547 0.00823
aquila_X1 40432-01-02-00 event 18.6514089556 5.64732528443 0.22248731641 0.0280562501404 161.688616754 14.6844422948 1.33049 0.00701
aquila_X1 40432-01-03-00 event 56.0491505194 16.2959001982 0.144522219936 0.0137239517687 159.435628774 7.06580768077 1.31077 0.00363
aquila_X1 40432-01-04-00 event 27.9381197478 3.67696981267 0.22931252265 0.0112889258225 155.536240662 4.42489210645 1.3272 0.00287
aquila_X1 40432-01-05-00 event 5.43981915244 0.957220344838 0.83260584291 0.117229187882 61.9836437127 36.0072797214 1.38601 0.01224
aquila_X1 50049-01-03-00 event 2.34543419023 0.47549300225 1.16362740378 0.239806025313 10.1470941292 23.4310907954 1.42949 0.01628
aquila_X1 50049-01-03-01 event 4.43661835459 0.827318152212 0.912089857365 0.111995354832 43.4870253803 35.2136480777 1.37975 0.0092
aquila_X1 50049-01-03-02 event 6.82150067299 1.23209599687 0.783541824846 0.0764569152238 82.0034298479 30.0337043092 1.36008 0.00692
aquila_X1 50049-01-04-00 event 42.6832559792 8.14762437288 0.238022988954 0.0160572409571 151.029306495 4.71851517793 1.33004 0.00289
